DSI_num,84,92,92-2,92-3,92-4,92-5,92-6,92-7,92-8,92-9,92-10,92-11,92-12,92-13,92-14
military,,,,,,,6,,3,,2,2,,,
allies,,,,,,,2,,,,,,,,
strike,,,,,,,3,,,,4,,,,
strikes,,,,,,,2,,,,,,,,
law,,,,,,,2,,,,,,,,
Russian,,,,,,,4,,,,,,,1,
Douma,,,,,,,2,,,,2,,,,
Assadregime,,,,,,,3,,,,,,,,
PresidentBasharal-Assad,,,,,,,1,,,,1,,,,
state,,,,,,,,2,,,,,,,
economy,,,,,,,,2,,,,,,,
Japan,,,,,,,,1,,,,,,,
tradingsystem,,,,,,,,3,,,,,,,
AmericaFirst,,,,,,,,,4,,,,,,
American,,,,,,,,,5,,,,,,
jobs,,,,,,,,,3,,,,,,
tax,,,,,,,,,4,,,,,,
cybercapabilities,,,,,,,,,2,,,,,,
veterans,,,,,,,,,2,,,,,,
policy,,,,,,,,,3,,,,,2,
foreign,,,,,,,,,3,2,,,,,
growth,,,,,,,,,2,,,,,,
gasrevolution,,,,,,,,,1,,,,,,
shaleoil,,,,,,,,,1,,,,,,
coalindustry,,,,,,,,,1,,,,,,
energyrelationship,,,,,,,,,1,,,,,,
energyplan,,,,,,,,,1,,,,,,
subsidies,,,,,,,,,,2,,,,,
business,,,,,,,,,,2,,,,,
IP,,,,,,,,,,3,,,,,
companies,,,,,,,,,,3,,,,,
gas,,,,,,,,,,,3,,,,
chlorine,,,,,,,,,,,2,,,,
OPCW,,,,,,,,,,,4,,,,
globalcampaignplan,,,,,,,,,,,,4,,,
nationalsecurity,,,,,,,,,,,,2,,,
challenge,,,,,,,,,,,,3,,,
billion,,,,,,,,,,,,,12,,
surplus,,,,,,,,,,,,,3,,
UK,,,,,,,,,,,,,,3,
Britain,,,,,,,,,,,,,,2,
European,,,,,,,,,,,,,,4,
NATO,,,,,,,,,,,,,,1,
NATOAlliance,,,,,,,,,,,,,,1,
Brexit,,,,,,,,,,,,,,3,
economic,,,,,,,,,,,,,,2,
alliance,,,,,,,,,,,,,,2,
Canada,,,,,,,,,,,,,,1,
Hungary,,,,,,,,,,,,,,1,
media,,,,,,,,,,,,,,,8
press,,,,,,,,,,,,,,,5
Taiwan,,,,,,,,,,,,,,,2
SouthChinaSea,,,,,,,,,,,,,,,1
CommunistParty,,,,,,,,,,,,,,,4
jounalists,,,,,,,,,,,,,,,2
governmentalTradeAgreements,2,,,,,,,,6,,,,,4,
meatProducts,,3,,,,,,,,,,,,,
farmProducts,,3,,,,,,,,,,,,,
metalProducts,,3,3,,,,,4,,,,,,,
manufacturedProducts,,1,2,,,,,2,,,,,,,
usStockMarket,,2,,,,,,,,,,,,,
tradeProducts,,5,,,,,,,,,,,,,
tradeWar,,6,,,,,,,,,,,6,,
chineseExports,,1.5,,,,,,2,,,,,1.5,,
usExports,,4,4,,,,,1,,,,,2,,
germanExports,,,2.5,,,,,,,,,,,,
carMakers,,,4,,,,,,,,,,,,
cars,,,4,,,,,,,,,,,,
syrianWarUSAllies,,,,4,,,10,,,,,,,,
syrianWarUSOpposition,,,,4,,,6,,,,,,,,
chemicalWeaponAttack,,,,2,,,4,,,,9,,,,
globalTerrorism,,,,,4.5,,,,,,,,,,
terrorism,,,,,3,,,,,,,,,,
parisAttacks,,,,,3,,,,,,,,,,
globalWarming,,,,,,5,,,,,,,,,
climateAgreements,,,,,,7,,,,,,,,,
americaFirstPolicy,,,,,,,,,5,,,,,,
americanJobs,,,,,,,,,6,,,,,,
americanTaxes,,,,,,,,,4,,,,,,
energyPolicy,,,,,,,,,6,,,,,,
lawEnforcement,,,,,,,,,4,,,,,,
immigrationPolicy,,,,,,,,,4,,,,,,
chineseManufacturers,,,,,,,,,,2.5,,,,,
ipProtection,,,,,,,,,,3.5,,,,,
chineseWorkers,,,,,,,,,,4,,,,,
chemicalWeaponsProgram,,,,,,,,,,,10,,,,
chemicalWeaponsMonitors,,,,,,,,,,,4,,,,
syrianChemicalWeapons,,,1,,,,2,,,,7,,,,
americanMilitary,,,,,,,,,,,,8,,,
americanCongress,,,,,,,,,,,,7,,,
europeanUnion,,,,,,,,,,,,,,5,
chinesePress,,,,,,,,,,,,,,,3
americanPress,,,,,,,,,,,,,,,5
worldMedia,,,,,,,,,,,,,,,8.5
