DSI_num,84,92,92-2,92-3,92-4,92-5,92-6,92-7,92-8,92-9,92-10,92-11,92-12,92-13,92-14
France,0,0,0,1,16,0,0,0,0,0,0,0,0,3,0
Israel,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
terrorism,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
ISIS,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Hollande,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
LePen,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
parisClimateAccord,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
climate,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
French,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
technology,0,0,0,0,0,2,0,0,0,3,0,0,1,0,0
globalwarming,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Macron,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
greenhouseGasses,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
presidentVladimirPutin,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0
attack,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0
targets,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
military,0,0,0,0,0,0,6,0,3,0,2,2,0,0,0
allies,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
strike,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0
law,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Russian,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0
Douma,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0
Assadregime,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0
state,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
economy,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Japan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tradingsystem,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
AmericaFirst,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
American,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
jobs,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
tax,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
cyberCapabilities,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
veterans,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
policy,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0
foreign,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
growth,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
gasrevolution,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
shaleoil,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
coalindustry,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
energyrelationship,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
energyplan,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
subsidies,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
business,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
IP,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
companies,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
gas,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
chlorine,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
OPCW,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
globalcampaignplan,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
nationalsecurity,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
challenge,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
billion,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
surplus,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
UK,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
European,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
NATO,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Brexit,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
economic,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
alliance,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
media,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Taiwan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
SouthChinaSea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CommunistParty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
jounalists,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
governmentalTradeAgreements,2,0,0,0,0,0,0,0,6,0,0,0,0,4,0
meatProducts,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
farmProducts,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
metalProducts,0,3,3,0,0,0,0,4,0,0,0,0,0,0,0
manufacturedProducts,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0
usStockMarket,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
tradeProducts,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
tradeWar,0,10,1,0,0,0,0,0,0,2,0,0,10,0,0
chineseExports,0,1.5,0,0,0,0,0,2,0,0,0,0,1.5,0,0
usExports,0,4,4,0,0,0,0,1,0,0,0,0,2,0,0
germanExports,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0
carMakers,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
cars,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
syrianWarUSAllies,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0
syrianWarUSOpposition,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0
chemicalWeaponAttack,0,0,0,2,0,0,4,0,0,0,9,0,0,0,0
chemicalWeaponsProgram,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
chemicalWeaponsMonitors,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
syrianChemicalWeapons,0,0,1,0,0,0,2,0,0,0,7,0,0,0,0
responseToSyrianAttack,0,0,0,5,0,0,11,0,0,0,15,0,0,0,0
globalTerrorism,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0
terrorism,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
parisAttacks,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
globalWarming,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
climateAgreements,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
americaFirstPolicy,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
americanJobs,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
americanTaxes,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
energyPolicy,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
lawEnforcement,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
immigrationPolicy,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
chineseManufacturers,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0
ipProtection,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0
chineseWorkers,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
americanMilitary,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
americanCongress,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
europeanUnion,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
chinesePress,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
americanPress,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
worldMedia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5
