"INDEX","P_TARGET"
545,5315.0953707312
549,5250.53894908399
551,4609.9010244284
556,6069.63806279176
557,5163.72169238602
559,5514.80396924189
560,5595.04259158493
566,5126.45201376638
569,7034.7448784026
573,7858.29615912051
578,4323.9489101864
579,5478.71250835431
582,4924.89184039669
596,5319.44792158107
598,4746.80515999059
599,6063.53355324319
602,5369.63441660557
605,7176.57530578131
617,6074.09022980191
619,5274.92625147954
630,5630.56031150586
634,4736.78778421775
643,6000.62947413439
645,7230.54061068902
647,5853.26827817377
649,4891.02646301418
656,5870.97733005409
657,6503.82396244191
658,5020.71304727526
667,5287.74345172412
692,5940.62483565763
693,5242.10873987006
698,7365.31827890642
699,5165.9477758911
700,5497.53460198716
704,6325.09836508964
707,6518.76763003128
708,6438.15449904216
709,5921.70312586448
713,6549.45867429598
714,6518.29350522491
716,6741.91528132478
718,7085.84518285906
722,5286.05666900492
729,6582.75031071183
731,6112.0332655485
733,5375.10000920797
746,6002.31625685359
747,6558.36300831628
748,6301.72448828634
753,3838.66270607978
757,4665.6527282156
763,5854.8210045519
767,5230.40458137802
774,4315.04457616609
776,6390.76782848939
788,6635.16288924141
794,8479.47307319707
799,6629.05837969284
803,3814.17578752394
806,6441.39400813949
807,6039.58593547323
811,5307.87781943009
816,4337.30541121685
818,6055.26813616905
819,5508.66501951255
831,5205.3783620363
835,6219.35939859852
837,7349.73569437088
841,6922.22804523596
846,4820.90483260428
856,6833.2843211932
861,5244.43443953542
862,4690.13964677144
863,5271.68674238222
865,5384.00434322828
871,5356.85165654177
879,6904.993118162
880,4854.29608518042
881,6988.47124960236
885,7039.19704541275
887,5584.9255996518
892,6870.01469902695
898,4941.0137257181
900,5538.81676299136
904,3814.17578752394
906,6716.3153210164
910,8829.98160908629
912,5965.01213805317
913,7289.63143973383
919,7420.87075037303
924,5144.1610656467
925,4841.51332511662
930,4941.0137257181
940,5924.40333417592
941,6356.26353416071
946,5686.85131607893
949,6541.02846508204
951,7709.14856428041
962,4958.28309297284
966,6704.74521886543
967,6100.80323186282
971,6185.96814602238
981,4656.17465322864
982,5518.78201144568
983,7529.50915749618
984,4872.67849418769
989,4622.14448370632
990,6266.74606915129
992,5028.40472338274
995,6816.48907874483
996,4483.11388079935
998,7010.15834368647
1001,7494.90524700721
1007,5623.40793618426
1008,5305.07799495836
1016,6675.80613329944
1022,6804.34523562721
1027,4873.69191977994
1032,4337.30541121685
1033,6497.04609576639
1041,4292.78374111533
1065,4936.02225792207
1074,6963.51020624016
1075,4515.39209162295
1081,7606.7487230469
1094,5449.13450584215
1099,4241.58382049858
1105,5672.9555142626
1123,7011.84512640566
1135,6400.78520426224
1142,5214.38231221689
1155,5141.93498214162
1169,6320.74581423978
1176,5465.83013213022
1178,6508.27612945207
1180,4105.79272668893
1184,5062.43489290505
1185,5790.83832387135
1193,6936.15828723307
1196,6369.04629422451
1199,5990.61209836155
1203,4956.15662562805
1205,5001.21759651545
1207,5534.36459598121
1208,5955.09437844062
1212,10738.9478308495
1213,3918.80171226252
1222,5470.28229914037
1223,4612.22672409377
1226,5104.7304795015
1227,7630.1225998502
1229,7029.65379444627
1230,5872.18998796692
1231,5059.66950861409
1241,4913.76142287131
1243,5606.17300911031
1244,5813.1987750824
1246,7615.6530570672
1248,7011.27138543901
1249,5185.4432266509
1252,7669.17867734932
1261,6389.65478673686
1275,5245.44786512767
1281,6291.23298770713
1285,4986.64843757217
1288,5055.11772544365
1290,5508.66501951255
1291,4719.07873233743
1304,5710.79893384889
1305,3814.17578752394
1323,4567.70505399225
1342,3944.4016725709
1348,4691.15307236369
1353,4559.91376172448
1363,5286.63040997158
1371,6404.66363030573
1372,8514.990793118
1378,6300.61144653381
1381,6262.29390214114
1382,5486.40418446178
1393,6687.37623545041
1394,5308.31750405568
1398,5266.69527458618
1404,5666.17764758708
1405,5066.24814296903
1419,5962.7860545481
1421,6107.58109853834
1426,7583.3748462436
1431,4301.58845897535
1435,4453.6010542667
1437,4301.58845897535
1438,6834.29774678545
1442,5387.34346848589
1464,5798.05587517246
1471,6166.47269526257
1473,6121.51134053546
1476,6117.59847431119
1478,5297.86044365725
1479,6926.7798284064
1487,5464.24296557131
1492,5232.09136409721
1496,7484.413746428
1497,5345.72123901639
1515,6154.32885214494
1519,6538.80238157696
1522,6000.09017334851
1526,4964.96134348806
1537,6246.61170144532
1538,5858.73387077617
1540,4933.796174417
1543,3836.4366225747
1548,4738.00044213058
1549,7700.2442302601
1556,4437.47916894529
1564,7198.83614083207
1570,4569.93113749732
1577,6027.91621716197
1585,5134.24330603415
1590,6223.81156560868
1592,6268.43285187049
1594,5255.46524090051
1596,6825.49302892543
1598,5996.27692328453
1603,5384.67770035522
1607,5618.85615301382
1612,5963.35979551476
1627,5286.05666900492
1629,5315.56949553757
1630,6842.1886552135
1640,5025.16521428541
1641,4958.38270913312
1646,5923.29029242338
1662,7473.85706986927
1668,5678.421106865
1671,5200.35245405949
1672,4315.04457616609
1673,9097.6853706621
1686,5423.53454553377
1688,5568.86889030989
1696,5469.26887354812
1701,4713.41390741445
1707,4952.71788421014
1708,5322.34736221309
1713,7153.74072976389
1715,6162.12014441271
1717,5391.25633471016
1721,5359.07774004685
1724,4415.21833389452
1725,7370.78387150882
1730,5085.16985276218
1731,4337.30541121685
1734,4996.12651255913
1740,4301.58845897535
1748,6326.75070762806
1749,5534.36459598121
1750,5146.92644993766
1763,4924.41771559032
1768,7052.55354644321
1773,4889.37412047576
1777,5638.9905207198
1778,5395.80811788061
1780,5859.84691252871
1782,6003.42929860613
1784,5838.22499442412
1786,6823.74107022672
1787,6769.74132513823
1792,5868.27712174265
1800,6543.35416474741
1801,4309.4793674034
1803,5661.25135577056
1804,4348.43582874224
1807,6277.77687051639
1818,5490.85635147194
1821,5039.63475706841
1822,5000.57867956928
1828,7973.61281675889
1833,7182.77943149017
1844,5507.6515939203
1847,6376.2982857064
1850,5542.63001305535
1854,4270.52290606457
1858,4854.29608518042
1864,6664.1019748074
1867,5054.64360063728
1876,6697.39361122326
1880,5237.75618902019
1881,5484.277717117
1891,7425.42253354348
1894,6342.90703313025
1895,6597.21985349483
1901,6788.76265109167
1905,6896.72770108787
1912,6418.69348846314
1918,5960.02067025714
1921,5599.39514243479
1923,4281.65332358995
1924,4578.83547151763
1931,6627.27198081336
1941,6318.42011457442
1950,5352.9387903175
1951,5894.35120685739
1954,5239.88265636498
1961,5151.4782331081
1966,7328.48828491237
1979,6868.80204111413
1982,5131.91760636878
1987,7128.71451042217
1997,5386.23042673335
2004,5898.80337386754
2011,5933.40728435652
2015,6892.17591791743
2025,5035.08297389797
2033,7792.72631188106
2034,6915.54979472073
2035,5238.76961461244
2036,7185.00551499524
2053,8021.37399595774
2059,6414.78062223886
2060,5319.44792158107
2073,6202.76338847074
2084,5492.06900938476
2089,6892.17591791743
2092,5813.09915892211
2109,6223.33744080231
2129,6267.75949474354
2134,4537.65292667372
2135,4114.69706070923
2148,6147.01168468355
2149,4396.29662410138
2150,7250.67497839499
2165,6875.57990778965
2166,4689.0266050189
2168,4301.58845897535
2170,4991.67434554898
2171,7698.59188772168
2172,5157.61718283745
2176,5560.53829725625
2182,4301.58845897535
2189,5059.5698924538
2191,6126.4031921712
2197,4795.87861326256
2202,4941.0137257181
2203,5788.61224036627
2204,6856.55858183621
2206,6328.43749034726
2218,7793.83935363359
2219,4482.00083904681
2221,4735.67474246521
2226,4813.58766514288
2228,7487.65325552532
2232,4381.82708131838
2236,4962.73525998299
2241,4735.67474246521
2245,6059.7203031792
2251,8997.0374881273
2255,5608.2994764551
2256,7488.22699649198
2259,6557.15035040345
2263,5932.73392722957
2264,5441.88251436026
2267,8616.37720875926
2273,4226.00123596304
2277,6093.11155575535
2287,5094.07418678249
2289,5579.89969167498
2291,5701.22124270164
2296,5394.69507612807
2299,4782.42249607181
2306,4869.33936893008
2314,5158.6306084297
2317,4972.75263575583
2318,5702.43390061447
2321,5932.73392722957
2324,4898.17883833578
2340,4683.46139625621
2343,6060.29404414586
2349,6161.48122746654
2352,4765.82648594403
2353,6310.15469750028
2365,4861.54807666231
2370,5283.29128471397
2378,4808.66137332636
2390,5750.76882077998
2399,5665.16422199483
2402,4415.21833389452
2403,4891.50058782055
2404,6626.15893906082
2414,6465.98054285562
2422,5327.91257097578
2424,8548.38204569415
2430,6680.79760109547
2435,4819.79179085174
2439,5602.73426769241
2442,6236.0550248866
2445,4613.24014968602
2449,5270.0343998438
2451,6009.5338081547
2461,6634.04984748887
2464,5308.31750405568
2465,6997.91488440855
2472,5832.02086871526
2476,5914.92525918896
2482,4879.25712854263
2487,8571.85553865774
2498,4445.27046121305
2501,4827.04378233363
2504,4301.58845897535
2511,6917.7758782258
2518,5486.97792542844
2521,5872.09037180663
2530,8094.36062681889
2543,6294.57211296475
2545,5055.75664238982
2561,4301.58845897535
2566,7927.30474777788
2572,5691.77760789545
2577,4301.58845897535
2578,5560.97798188184
2580,5504.88620962934
2581,4656.7483941953
2582,7919.51345551011
2584,7083.61909935398
2590,5274.38695069366
2598,4954.94396771522
2602,6743.02832307732
2605,4214.87081843766
2616,6673.48043363408
2618,6254.97673467974
2619,6803.23219387467
2624,5864.83838032474
2632,5023.47843156622
2640,6059.62068701891
2646,3814.17578752394
2651,7052.55354644321
2660,5881.63362277311
2661,4092.43622565847
2668,7130.36685296058
2670,4415.21833389452
2680,4932.20900785809
2681,5287.16971075746
2689,5558.21259759088
2694,6130.95497534164
2695,5737.51193590981
2696,5408.49126178411
2702,5478.61289219402
2704,5026.17863987766
2708,6376.93720265257
2709,5904.90788341612
2714,5317.32145423628
2716,4663.32702855023
2723,6187.72010472109
2725,4281.65332358995
2738,8605.14717507359
