INDEX,TARGET,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,SEX,EDUCATION,JOB,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CAR_AGE,URBANICITY
28,2425,0,53,0,6,"$38,036",No,"$153,381",Yes,z_F,z_High School,z_Blue Collar,32,Commercial,"$13,140",1,z_SUV,no,$0,0,No,4,1,Highly Urban/ Urban
29,5711,0,34,3,0,$0,No,"$66,358",Yes,z_F,z_High School,Home Maker,25,Private,"$11,740",9,z_SUV,no,"$1,800",2,No,2,1,Highly Urban/ Urban
32,7838,0,33,4,0,$0,Yes,$0,z_No,M,z_High School,Student,14,Commercial,"$15,090",1,Minivan,yes,"$1,631",1,No,2,5,Highly Urban/ Urban
33,3660,0,37,0,0,,No,"$73,890",Yes,z_F,Bachelors,Student,48,Commercial,"$12,850",7,z_SUV,no,$0,0,No,3,6,Highly Urban/ Urban
34,5125,0,47,0,11,"$44,705",No,"$217,885",Yes,z_F,Bachelors,Professional,50,Private,"$12,840",1,z_SUV,no,"$1,533",2,No,0,10,Highly Urban/ Urban
35,5085,0,64,0,15,"$31,738",No,"$197,010",Yes,M,<High School,z_Blue Collar,23,Commercial,"$14,620",6,z_SUV,no,"$3,994",2,No,0,1,Highly Urban/ Urban
36,2143,0,52,0,7,"$64,014",No,"$244,863",Yes,M,<High School,z_Blue Collar,33,Commercial,"$7,900",4,Pickup,yes,"$8,882",3,No,1,5,Highly Urban/ Urban
38,4028,0,26,0,8,"$53,244",No,$0,z_No,M,Bachelors,Professional,28,Commercial,"$20,920",3,Van,yes,"$6,224",1,No,1,8,Highly Urban/ Urban
40,8671,1,38,1,12,"$37,580",No,"$173,495",Yes,z_F,<High School,Clerical,36,Private,"$5,260",7,z_SUV,no,$867,2,No,0,1,Highly Urban/ Urban
41,6287,0,41,2,15,"$23,344",No,"$147,172",Yes,M,z_High School,z_Blue Collar,10,Private,"$7,930",1,Pickup,no,$0,0,No,1,1,Highly Urban/ Urban
42,3524,0,41,0,12,"$110,386",No,"$335,488",Yes,M,Masters,,21,Commercial,"$16,640",1,Van,yes,$0,0,No,2,14,Highly Urban/ Urban
43,1807,1,43,2,11,"$76,159",Yes,$0,z_No,z_F,Bachelors,Professional,52,Private,"$19,750",4,z_SUV,no,$0,0,Yes,0,,Highly Urban/ Urban
44,10593.946633,0,42,0,0,$0,No,,z_No,M,<High School,Student,47,Commercial,"$5,700",11,Pickup,yes,$0,0,No,5,1,Highly Urban/ Urban
45,6158,0,43,2,15,"$49,849",Yes,$0,z_No,z_F,Masters,Lawyer,35,Private,"$13,130",1,z_SUV,no,"$3,622",3,No,4,20,Highly Urban/ Urban
46,4887,1,39,1,16,"$12,054",No,$0,Yes,z_F,<High School,Student,28,Commercial,"$15,760",4,Pickup,no,"$1,738",2,Yes,4,1,Highly Urban/ Urban
48,2214,0,26,3,9,"$33,283",No,"$104,323",Yes,M,Bachelors,z_Blue Collar,37,Commercial,"$7,690",10,Pickup,no,$0,0,No,2,16,Highly Urban/ Urban
49,6087,0,42,0,12,"$136,344",No,$0,z_No,z_F,PhD,Doctor,45,Private,"$13,160",1,Sports Car,no,$0,0,No,0,17,Highly Urban/ Urban
50,3894,0,39,0,12,"$32,936",No,"$169,721",z_No,z_F,z_High School,Clerical,12,Private,"$1,500",6,z_SUV,no,$0,0,No,0,7,Highly Urban/ Urban
51,2659,1,45,3,0,$0,Yes,$0,z_No,M,z_High School,Home Maker,36,Private,"$16,510",4,Minivan,no,"$17,445",3,Yes,0,1,Highly Urban/ Urban
52,3705,0,62,0,12,"$22,181",No,"$185,459",z_No,z_F,z_High School,Clerical,24,Private,"$17,880",7,Sports Car,no,"$9,873",3,No,5,1,Highly Urban/ Urban
53,6693,0,53,0,15,"$84,345",No,"$264,549",Yes,z_F,Bachelors,Manager,36,Private,"$9,930",4,z_SUV,no,$0,0,No,3,5,Highly Urban/ Urban
54,4380,0,42,0,10,"$43,174",No,"$208,811",z_No,M,<High School,z_Blue Collar,48,Commercial,"$10,020",13,Pickup,yes,$0,0,No,0,1,Highly Urban/ Urban
55,1826,0,31,2,14,"$30,653",Yes,$0,z_No,z_F,z_High School,Clerical,41,Private,"$12,930",13,Sports Car,no,"$35,666",2,Yes,0,7,Highly Urban/ Urban
56,6716,3,36,4,0,,No,$0,Yes,z_F,z_High School,Student,54,Private,"$1,500",4,z_SUV,no,$0,0,No,5,10,Highly Urban/ Urban
57,4644,1,45,2,17,"$111,268",No,"$288,071",Yes,z_F,Masters,Lawyer,46,Private,"$24,600",1,Van,no,"$28,026",2,Yes,2,10,Highly Urban/ Urban
58,53571.214081,0,36,3,11,"$49,703",Yes,"$253,132",z_No,M,Masters,,37,Commercial,"$42,550",1,Panel Truck,yes,"$35,879",1,Yes,0,20,Highly Urban/ Urban
59,4257,0,53,0,13,"$25,289",No,"$108,139",Yes,z_F,<High School,Home Maker,31,Private,"$13,850",1,z_SUV,no,$0,0,No,0,7,Highly Urban/ Urban
61,2832,0,32,3,13,"$30,955",Yes,"$111,256",z_No,z_F,z_High School,Clerical,9,Private,"$7,800",4,z_SUV,no,$0,0,Yes,0,8,Highly Urban/ Urban
65,4658,1,39,2,15,"$61,370",Yes,$0,z_No,M,Masters,Manager,6,Commercial,"$21,770",6,Van,yes,"$35,577",3,Yes,0,12,Highly Urban/ Urban
66,5259,0,54,0,11,"$44,782",No,"$148,676",z_No,z_F,<High School,Clerical,83,Private,"$30,260",3,z_SUV,no,$0,0,No,0,9,Highly Urban/ Urban
67,3769,2,45,2,12,"$30,085",No,"$128,194",Yes,M,<High School,Clerical,44,Commercial,"$7,200",4,Pickup,no,$0,0,Yes,3,8,Highly Urban/ Urban
69,4363.2375823,0,44,0,8,"$32,317",No,$0,z_No,M,z_High School,Clerical,68,Private,"$22,450",7,Minivan,yes,"$3,738",1,No,8,1,Highly Urban/ Urban
70,5523,0,47,0,,"$21,282",No,$0,Yes,M,z_High School,Student,40,Commercial,"$18,150",1,Van,no,"$6,544",1,No,3,,Highly Urban/ Urban
71,7390.4399588,0,64,0,13,"$61,521",No,"$248,878",Yes,z_F,Masters,Lawyer,41,Private,"$7,650",1,Sports Car,no,$0,0,No,8,9,Highly Urban/ Urban
72,1164.9880662,0,34,1,9,"$105,554",Yes,"$229,868",z_No,M,Masters,Lawyer,75,Private,"$5,300",4,Minivan,no,"$7,504",2,No,2,20,Highly Urban/ Urban
73,2362,1,42,1,3,"$69,290",Yes,$0,z_No,M,Masters,,30,Commercial,"$23,900",4,Panel Truck,yes,"$1,052",2,No,1,11,Highly Urban/ Urban
74,6142,0,,2,8,"$2,954",Yes,$0,z_No,z_F,<High School,Clerical,21,Private,"$3,100",9,Sports Car,yes,"$10,099",2,No,4,5,Highly Urban/ Urban
77,5075,0,50,0,13,"$2,657",No,"$109,134",Yes,z_F,Masters,Home Maker,63,Private,"$10,480",13,Sports Car,no,"$20,452",2,Yes,2,11,Highly Urban/ Urban
78,680,0,57,0,12,,No,$0,z_No,z_F,z_High School,Clerical,19,Private,"$11,650",4,z_SUV,no,"$10,231",1,No,0,1,Highly Urban/ Urban
79,2287,1,42,2,12,"$68,090",Yes,"$169,854",z_No,z_F,Bachelors,z_Blue Collar,45,Commercial,"$11,750",1,Minivan,no,"$9,261",1,No,3,12,Highly Urban/ Urban
80,6195,0,45,2,4,"$25,032",Yes,$0,z_No,z_F,z_High School,Clerical,34,Commercial,"$6,100",1,Pickup,yes,"$5,771",1,No,5,1,z_Highly Rural/ Rural
81,4862,0,54,0,12,"$52,078",No,"$194,227",Yes,M,Masters,,51,Commercial,"$23,250",1,Panel Truck,yes,"$5,039",1,No,4,18,Highly Urban/ Urban
82,9775.6413423,0,25,1,9,"$51,544",Yes,,z_No,z_F,z_High School,z_Blue Collar,44,Commercial,"$20,630",1,z_SUV,no,"$7,767",2,No,8,1,Highly Urban/ Urban
84,3418,0,29,1,8,"$73,842",Yes,$0,z_No,z_F,z_High School,z_Blue Collar,25,Commercial,"$22,340",1,Sports Car,no,"$4,769",1,No,4,1,Highly Urban/ Urban
85,4423,1,45,2,0,$0,Yes,$0,z_No,M,<High School,Student,33,Private,"$6,000",1,Pickup,no,"$41,818",1,Yes,3,1,Highly Urban/ Urban
86,2328,0,41,1,13,"$109,957",No,"$260,749",Yes,z_F,Masters,Lawyer,50,Private,"$29,470",6,Sports Car,no,$0,0,No,1,18,Highly Urban/ Urban
88,6880,0,62,0,12,"$33,713",No,"$171,810",Yes,z_F,Bachelors,z_Blue Collar,26,Commercial,"$23,470",4,Sports Car,no,"$41,913",3,Yes,0,15,Highly Urban/ Urban
89,3644,0,36,0,13,"$20,891",No,"$134,406",Yes,z_F,z_High School,z_Blue Collar,39,Commercial,"$5,100",1,z_SUV,no,"$2,949",2,No,9,7,Highly Urban/ Urban
90,4758,0,35,2,10,"$17,493",Yes,"$102,902",z_No,z_F,<High School,Clerical,52,Private,"$19,340",9,Minivan,no,"$5,658",3,No,7,1,Highly Urban/ Urban
91,4875,0,45,3,14,"$94,325",No,"$301,739",Yes,M,Masters,Lawyer,55,Private,"$6,960",1,z_SUV,no,$0,0,No,2,14,Highly Urban/ Urban
93,5395,0,32,2,9,"$60,050",Yes,"$212,562",z_No,z_F,z_High School,Clerical,31,Private,"$11,480",1,Minivan,no,"$17,493",4,Yes,2,1,Highly Urban/ Urban
94,5021,2,39,2,11,,Yes,$0,z_No,z_F,Bachelors,Manager,16,Private,"$22,920",1,Sports Car,no,$0,0,No,0,10,Highly Urban/ Urban
95,2891.10285,0,32,4,15,"$4,478",Yes,$0,z_No,z_F,<High School,Student,7,Private,"$6,780",4,z_SUV,no,"$7,181",3,No,5,8,Highly Urban/ Urban
96,3149,0,35,0,7,"$62,036",No,"$154,297",Yes,M,z_High School,z_Blue Collar,5,Commercial,"$16,370",4,Van,yes,"$3,913",2,No,7,1,Highly Urban/ Urban
97,3602,0,64,0,15,"$40,528",No,"$208,306",Yes,z_F,z_High School,z_Blue Collar,54,Commercial,"$11,950",7,Sports Car,no,"$5,137",1,No,6,6,Highly Urban/ Urban
99,2449,0,44,1,11,"$75,046",No,"$244,819",Yes,M,z_High School,z_Blue Collar,56,Commercial,"$9,000",4,Pickup,yes,"$3,288",3,No,6,10,Highly Urban/ Urban
100,3259,0,40,1,12,"$39,600",Yes,"$193,495",z_No,z_F,z_High School,Clerical,37,Private,"$5,460",1,Sports Car,no,"$4,188",2,No,5,1,Highly Urban/ Urban
101,21823.078345,0,38,0,10,"$75,432",No,$0,z_No,z_F,Bachelors,Manager,51,Private,"$16,260",1,z_SUV,no,"$8,035",3,No,0,13,Highly Urban/ Urban
102,3085,0,43,1,0,$0,Yes,"$86,118",z_No,z_F,<High School,Home Maker,41,Private,"$14,240",4,z_SUV,no,$0,0,No,1,1,Highly Urban/ Urban
103,3593,0,55,0,0,$0,No,"$68,500",Yes,z_F,Bachelors,Home Maker,11,Private,"$8,560",6,Sports Car,no,"$3,769",2,No,5,14,Highly Urban/ Urban
104,457.55636455,0,54,0,12,"$10,617",No,$0,Yes,M,z_High School,Student,14,Commercial,"$7,960",10,Pickup,no,"$1,079",2,No,2,9,Highly Urban/ Urban
105,6143,0,46,0,8,"$140,766",No,"$375,813",z_No,M,Masters,,41,Commercial,"$29,220",13,Panel Truck,yes,$0,0,No,1,13,Highly Urban/ Urban
108,5619.2285646,0,42,2,11,"$34,210",No,"$186,734",Yes,M,z_High School,Clerical,34,Private,"$12,880",6,Minivan,yes,"$1,830",1,No,0,1,Highly Urban/ Urban
109,1766,0,46,0,,"$31,177",No,"$150,102",z_No,M,z_High School,Professional,41,Commercial,"$25,420",9,Panel Truck,no,$0,0,No,1,1,Highly Urban/ Urban
110,2262,0,51,0,13,"$65,702",No,$0,z_No,z_F,Masters,Lawyer,27,Private,"$15,820",1,z_SUV,no,"$7,181",2,No,3,1,Highly Urban/ Urban
111,40151.706968,0,58,0,11,"$51,870",No,$0,z_No,M,<High School,z_Blue Collar,36,Commercial,"$24,520",4,Panel Truck,yes,$0,0,Yes,5,1,Highly Urban/ Urban
112,1237,0,41,0,14,"$99,959",No,"$268,154",z_No,z_F,Masters,Lawyer,13,Private,"$18,850",6,Minivan,no,$0,0,No,1,11,Highly Urban/ Urban
114,1650,1,37,2,0,$0,Yes,$0,z_No,z_F,<High School,Student,18,Private,"$1,500",3,z_SUV,no,$0,0,No,3,1,Highly Urban/ Urban
115,14833.614904,0,49,0,13,"$28,592",No,"$183,206",Yes,M,<High School,Clerical,31,Commercial,"$9,260",1,Pickup,no,"$39,892",3,Yes,6,1,Highly Urban/ Urban
116,1796,0,42,2,13,"$64,766",No,"$263,986",Yes,z_F,z_High School,z_Blue Collar,20,Commercial,"$11,840",18,z_SUV,no,"$44,414",1,Yes,1,1,Highly Urban/ Urban
117,4057,1,37,2,11,"$62,426",No,"$209,548",Yes,z_F,Bachelors,Manager,20,Private,"$11,440",13,z_SUV,no,$981,1,No,0,,Highly Urban/ Urban
118,5177,0,25,1,12,"$40,095",Yes,$0,z_No,M,z_High School,Clerical,38,Commercial,"$22,720",3,Panel Truck,yes,"$1,992",2,No,6,9,Highly Urban/ Urban
119,5287,1,40,2,7,"$52,423",No,"$150,723",Yes,z_F,z_High School,z_Blue Collar,30,Private,"$7,420",6,Sports Car,no,$0,0,No,2,1,Highly Urban/ Urban
121,3008,0,54,0,,"$62,215",No,"$244,460",Yes,z_F,z_High School,z_Blue Collar,30,Commercial,"$21,840",1,Sports Car,no,"$6,600",2,No,3,5,Highly Urban/ Urban
122,3943,0,49,0,8,"$37,356",No,"$133,175",Yes,M,z_High School,z_Blue Collar,63,Commercial,"$6,400",1,Pickup,yes,"$7,993",1,No,7,6,Highly Urban/ Urban
124,5363,0,37,3,17,"$6,217",No,$0,Yes,z_F,z_High School,Student,27,Commercial,"$22,260",10,Pickup,no,$0,0,Yes,0,4,Highly Urban/ Urban
127,2872,0,40,0,5,"$57,063",No,$0,z_No,z_F,Masters,Professional,46,Private,"$16,250",10,Sports Car,no,$0,0,No,0,19,Highly Urban/ Urban
130,4579,0,46,0,7,"$106,409",No,$0,z_No,z_F,Masters,,42,Commercial,"$24,410",6,Pickup,no,"$6,948",1,No,0,18,Highly Urban/ Urban
132,4997,1,72,2,18,"$27,625",No,"$162,415",Yes,z_F,<High School,Clerical,32,Private,"$18,960",6,Sports Car,no,"$8,571",1,No,8,1,Highly Urban/ Urban
133,8662,2,36,3,13,"$28,326",No,"$145,411",Yes,z_F,<High School,Clerical,37,Commercial,"$26,280",7,Pickup,no,"$39,535",3,Yes,2,8,Highly Urban/ Urban
134,5952,0,63,0,15,"$26,921",No,"$140,455",Yes,z_F,Bachelors,Manager,19,Private,"$14,360",1,z_SUV,no,"$30,288",1,Yes,2,11,Highly Urban/ Urban
136,5440,0,35,0,13,"$64,488",No,,Yes,M,z_High School,z_Blue Collar,37,Commercial,"$21,820",1,Van,yes,"$1,144",3,No,5,7,Highly Urban/ Urban
137,7719,0,33,2,9,"$31,675",No,"$159,621",Yes,z_F,z_High School,z_Blue Collar,25,Commercial,"$9,130",7,Sports Car,no,"$32,882",1,Yes,6,1,Highly Urban/ Urban
138,8289,1,39,2,7,"$66,367",No,,Yes,z_F,z_High School,z_Blue Collar,35,Commercial,"$5,560",1,Sports Car,no,"$2,949",2,No,3,1,Highly Urban/ Urban
139,2353,0,56,2,17,"$29,524",No,"$198,107",Yes,z_F,<High School,z_Blue Collar,52,Private,"$14,250",14,z_SUV,no,$0,0,No,1,7,Highly Urban/ Urban
140,2289,0,41,0,6,"$86,227",No,"$237,057",z_No,M,Masters,,28,Commercial,"$19,530",9,Van,no,"$2,948",3,No,2,17,Highly Urban/ Urban
142,3428,0,42,0,8,"$94,591",No,"$309,644",z_No,M,<High School,z_Blue Collar,21,Commercial,"$17,470",6,Van,yes,"$16,121",3,Yes,3,8,Highly Urban/ Urban
143,4898,0,33,0,11,$249,No,$0,z_No,z_F,z_High School,Student,30,Private,"$10,590",11,z_SUV,no,$0,0,No,1,11,Highly Urban/ Urban
144,4046,2,41,3,10,"$24,862",Yes,$0,z_No,z_F,Bachelors,Student,26,Private,"$7,790",1,Sports Car,no,"$1,055",4,No,2,10,z_Highly Rural/ Rural
145,2812,0,50,0,0,$0,No,"$113,870",Yes,z_F,z_High School,Home Maker,12,Private,"$6,500",6,Sports Car,no,$0,0,No,0,,Highly Urban/ Urban
146,5050,0,41,3,11,,No,"$159,061",Yes,z_F,z_High School,Professional,35,Private,"$9,170",6,z_SUV,no,$0,0,No,0,8,Highly Urban/ Urban
149,46858.306905,0,43,0,13,"$22,623",No,"$184,773",Yes,M,z_High School,Professional,15,Private,"$8,060",1,Pickup,yes,$0,0,No,2,1,Highly Urban/ Urban
150,2058,0,51,0,12,"$40,760",No,"$186,223",z_No,M,Bachelors,Professional,24,Private,"$11,880",1,Pickup,no,$0,0,No,0,8,Highly Urban/ Urban
152,4313,0,27,3,9,"$69,794",Yes,$0,z_No,z_F,Bachelors,Professional,24,Private,"$14,660",4,z_SUV,no,"$2,848",1,No,3,6,Highly Urban/ Urban
153,1736,0,33,1,11,"$25,544",Yes,$0,z_No,z_F,<High School,z_Blue Collar,29,Private,"$4,050",1,Sports Car,no,"$3,971",2,No,0,1,Highly Urban/ Urban
154,4257,1,42,2,15,"$85,408",No,"$274,402",Yes,z_F,z_High School,z_Blue Collar,32,Commercial,"$20,170",10,Minivan,no,$697,2,No,0,8,Highly Urban/ Urban
155,3492,0,55,0,11,"$3,865",No,$0,z_No,z_F,<High School,Home Maker,27,Private,"$16,600",1,z_SUV,no,"$6,089",2,Yes,0,1,Highly Urban/ Urban
158,3722,0,54,0,12,"$65,298",No,"$213,225",Yes,z_F,z_High School,Clerical,5,Private,"$8,030",17,z_SUV,no,"$4,528",3,No,5,1,Highly Urban/ Urban
159,6827,0,39,0,6,,No,$0,z_No,z_F,Masters,Lawyer,51,Private,"$12,880",3,Minivan,no,$0,0,Yes,0,,z_Highly Rural/ Rural
160,1842.2108931,0,27,4,13,"$50,139",No,"$167,990",Yes,z_F,z_High School,z_Blue Collar,22,Private,"$9,210",1,z_SUV,no,"$1,271",2,No,3,1,Highly Urban/ Urban
161,8798,0,47,0,,"$92,543",No,"$236,446",Yes,M,Masters,,52,Commercial,"$25,250",6,Panel Truck,no,"$30,450",2,Yes,4,9,Highly Urban/ Urban
162,5636,0,37,0,6,"$53,895",No,"$161,774",Yes,M,Bachelors,Clerical,44,Commercial,"$11,250",17,Pickup,no,$0,0,No,0,11,Highly Urban/ Urban
163,3414,0,43,2,12,"$60,973",Yes,$0,z_No,z_F,Bachelors,z_Blue Collar,56,Commercial,"$5,800",1,Sports Car,no,$0,0,Yes,1,8,Highly Urban/ Urban
164,7161,0,36,0,10,"$85,731",No,$0,z_No,z_F,Bachelors,z_Blue Collar,13,Commercial,"$21,660",10,Pickup,no,"$4,002",2,No,1,3,Highly Urban/ Urban
165,26305.260525,0,47,0,0,$0,No,$0,Yes,M,z_High School,Student,35,Commercial,"$11,610",7,Pickup,yes,"$19,545",1,Yes,0,1,z_Highly Rural/ Rural
166,5717,1,42,2,11,"$14,166",Yes,$0,z_No,z_F,<High School,Student,36,Private,"$23,280",6,Minivan,no,$0,0,No,3,5,Highly Urban/ Urban
167,4306,0,31,2,0,$0,No,$0,Yes,z_F,<High School,Student,48,Private,"$7,740",4,Sports Car,no,"$7,323",1,No,7,1,Highly Urban/ Urban
168,1813,2,36,2,0,$0,No,"$110,346",Yes,z_F,z_High School,Home Maker,28,Private,"$5,100",4,Minivan,no,"$39,425",3,Yes,1,9,Highly Urban/ Urban
169,2463,1,57,2,0,$0,No,$0,Yes,M,z_High School,Student,29,Private,"$9,240",1,Pickup,yes,"$8,336",2,Yes,5,1,Highly Urban/ Urban
170,465.00468499,0,47,0,15,"$91,221",No,"$263,877",Yes,z_F,Bachelors,z_Blue Collar,31,Commercial,"$1,500",4,Sports Car,no,"$5,385",2,No,2,7,Highly Urban/ Urban
171,5016,0,44,0,10,"$146,338",No,$0,z_No,M,Masters,,21,Commercial,"$22,620",1,Panel Truck,no,"$37,211",3,Yes,3,10,Highly Urban/ Urban
172,3354,0,47,0,12,"$47,235",No,"$205,801",z_No,M,z_High School,z_Blue Collar,27,Private,"$10,920",4,Pickup,yes,"$9,933",2,No,2,1,Highly Urban/ Urban
173,5911,0,48,0,10,"$7,302",No,,z_No,z_F,<High School,Student,27,Private,"$7,030",10,z_SUV,no,"$3,564",1,No,3,1,Highly Urban/ Urban
175,3998,0,58,0,14,"$37,991",No,,z_No,z_F,z_High School,Manager,23,Private,"$14,000",4,Sports Car,no,$0,0,Yes,2,1,Highly Urban/ Urban
176,3854,0,37,2,13,"$133,335",Yes,$0,z_No,z_F,Bachelors,z_Blue Collar,15,Commercial,"$21,740",1,z_SUV,no,$975,2,No,6,13,Highly Urban/ Urban
177,3231,1,58,2,17,"$3,272",No,$0,Yes,M,<High School,Student,42,Private,"$7,200",1,Minivan,yes,"$5,086",2,No,2,5,Highly Urban/ Urban
178,4611.0239284,0,38,2,14,"$58,833",No,"$193,644",Yes,M,Bachelors,z_Blue Collar,41,Commercial,"$17,680",1,Van,yes,$0,0,Yes,2,10,Highly Urban/ Urban
179,917,0,72,0,16,"$63,890",No,"$256,797",Yes,z_F,Masters,Lawyer,41,Private,"$9,100",7,Sports Car,no,"$4,448",3,No,0,6,Highly Urban/ Urban
180,9162.0963588,0,40,0,9,"$5,253",No,"$77,463",z_No,z_F,z_High School,Student,23,Commercial,"$23,600",4,Pickup,no,$0,0,No,0,1,Highly Urban/ Urban
181,3829,0,32,3,8,,Yes,"$193,566",z_No,z_F,Bachelors,Clerical,43,Private,"$7,080",4,Sports Car,no,$0,0,No,0,11,Highly Urban/ Urban
182,4846,0,57,0,14,"$200,772",No,"$465,304",z_No,z_F,PhD,Doctor,27,Private,"$9,270",1,z_SUV,no,$0,0,No,0,,Highly Urban/ Urban
183,6409,0,53,0,13,"$108,744",No,"$333,039",Yes,M,Masters,,5,Commercial,"$5,430",1,Pickup,yes,"$3,267",1,No,0,,Highly Urban/ Urban
184,3844,0,44,1,11,"$48,374",No,"$215,391",Yes,M,z_High School,z_Blue Collar,48,Commercial,"$34,640",1,Panel Truck,no,$0,0,No,0,8,Highly Urban/ Urban
185,2595,0,27,0,8,,No,$0,z_No,z_F,<High School,z_Blue Collar,35,Commercial,"$24,340",1,Pickup,no,"$4,599",1,No,2,4,Highly Urban/ Urban
187,22134.284195,0,35,0,11,"$85,430",No,$0,z_No,z_F,Bachelors,z_Blue Collar,14,Commercial,"$13,540",1,z_SUV,no,"$8,062",2,No,2,1,Highly Urban/ Urban
188,60838.10394,0,48,0,11,"$81,084",No,$0,z_No,z_F,Bachelors,Professional,42,Private,"$27,360",1,Sports Car,no,"$2,860",1,No,4,9,Highly Urban/ Urban
189,2705,0,36,0,12,"$204,373",No,,Yes,M,PhD,,20,Commercial,"$5,100",6,Pickup,no,"$3,423",3,No,0,20,Highly Urban/ Urban
190,16840.120827,3,62,3,16,"$33,995",No,"$136,008",Yes,M,<High School,z_Blue Collar,42,Private,"$7,700",4,z_SUV,yes,"$8,002",3,No,4,1,Highly Urban/ Urban
191,4423,0,55,0,10,"$39,405",No,"$161,357",Yes,M,Masters,,28,Commercial,"$10,940",1,Pickup,yes,$0,0,Yes,1,14,Highly Urban/ Urban
